Polarity (XLogP3), Viscosity (cP), Boiling Point (K), Surface Tension (mN/m), Concentration (g/mL),Uncoated Layer (nm),Total Thickness (nm),Bonded Thickness (nm)
0.7,0.423,350.372,24,0.908535862,1.324606465,1.238423718,0.583814725
0.7,0.423,350.372,24,1.108331626,1.317606486,1.372649863,0.637720152
0.7,0.423,350.372,24,0.357593296,1.326397556,1.043587347,0.476960914
0.7,0.423,350.372,24,0.1,1.31,0.65,0.316073107
0.7,0.423,350.372,24,0.1,1.317362291,0.65,0.296515237
0.7,0.423,350.372,24,9.831241692,1.570195817,3.448822731,1.066212875
0.7,0.423,350.372,24,0.1,1.437112846,0.802315499,0.314519064
0.7,0.423,350.372,24,0.1,1.441777375,0.877118993,0.341265367
0.7,0.423,350.372,24,0.34189642,1.328124114,0.930909658,0.42001586
0.7,0.423,350.372,24,1.930260147,1.500046906,1.665145581,0.656169836
0.7,0.423,350.372,24,0.581914771,1.462511695,1.499926631,0.25
0.7,0.423,350.372,24,0.408557194,1.481465459,1.435990764,0.272819717
0.7,0.423,350.372,24,0.337651905,1.480149973,1.471261569,0.250699445
0.7,0.423,350.372,24,9.991820958,1.57616337,3.62658943,1.065252139
0.7,0.423,350.372,24,0.378577532,1.334657287,0.934846241,0.416359769
0.7,0.423,350.372,24,0.12187364,1.471610971,1.077498792,0.345946749
0.7,0.423,350.372,24,0.495057919,1.476317765,1.446814971,0.286618568
0.7,0.423,350.372,24,1.810802909,1.496770039,1.675289188,0.641947239
0.7,0.423,350.372,24,4.943642989,1.473380031,2.518310712,0.972781785
0.7,0.423,350.372,24,0.120681652,1.473774705,1.093286045,0.337899312
0.7,0.423,350.372,24,4.736321562,1.473069498,2.473345997,0.954032186
0.7,0.423,350.372,24,3.134787673,1.498793667,1.98009868,0.709370199
0.7,0.423,350.372,24,0.274390822,1.468475149,1.121409575,0.351515095
0.7,0.423,350.372,24,4.890991667,1.47946907,2.523341145,0.970048401
0.7,0.423,350.372,24,4.936105219,1.481271448,2.533487016,0.97183201
0.7,0.423,350.372,24,3.015539591,1.505531566,1.840637206,0.742392787
0.7,0.423,350.372,24,0.1,1.31,0.944894921,0.370265493
0.7,0.423,350.372,24,0.275326614,1.468739888,1.104789133,0.401513993
0.7,0.423,350.372,24,9.883334112,1.566931937,4.177010948,1.016822917
0.7,0.423,350.372,24,0.880320122,1.31,1.282662268,0.635508231
0.7,0.423,350.372,24,0.134386356,1.333622533,0.665332985,0.393547236
0.7,0.423,350.372,24,5.045099896,1.480556941,2.557666315,0.995787593
0.7,0.423,350.372,24,4.932914973,1.49669337,2.231479767,0.987133679
0.7,0.423,350.372,24,0.1,1.329586162,0.65,0.365237449
0.7,0.423,350.372,24,0.326456338,1.44521897,1.062115408,0.332637664
0.7,0.423,350.372,24,0.347788126,1.321789369,1.052248667,0.479513008
0.7,0.423,350.372,24,0.145831508,1.427882147,0.970832019,0.323532279
0.7,0.423,350.372,24,3.002179036,1.47759963,1.987941309,0.711029061
0.7,0.423,350.372,24,0.1,1.451766674,0.791311912,0.282030694
0.7,0.423,350.372,24,0.530489968,1.479090533,1.548179577,0.261029597
0.7,0.423,350.372,24,5.097890078,1.500596365,2.307083414,0.952648914
0.7,0.423,350.372,24,0.1,1.431800738,0.946268978,0.314137913
0.7,0.423,350.372,24,10,1.574589538,4.21,1.036733935
0.7,0.423,350.372,24,0.1,1.433115768,0.812560767,0.327920232
0.7,0.423,350.372,24,0.265178396,1.316812854,1.015775885,0.466481317
0.7,0.423,350.372,24,10,1.58,3.706434962,1.08
0.7,0.423,350.372,24,0.426842705,1.463044468,1.444817393,0.25
0.7,0.423,350.372,24,0.785214888,1.321322419,1.179436974,0.592220129
0.7,0.423,350.372,24,2.954130481,1.498611735,1.94473344,0.696777609
0.7,0.423,350.372,24,3.078773183,1.480861178,2.008487073,0.708766507
0.7,0.423,350.372,24,1.706434202,1.473725441,1.595281431,0.659508739
0.7,0.423,350.372,24,2.994882748,1.500070801,1.819365417,0.733519755
0.7,0.423,350.372,24,0.160451931,1.332321607,0.65877671,0.394698979
0.7,0.423,350.372,24,10,1.575226912,4.21,1.038520336
0.7,0.423,350.372,24,0.1,1.439706029,0.847325657,0.335283693
0.7,0.423,350.372,24,1.019574597,1.322894354,1.240443764,0.614735666
0.7,0.423,350.372,24,0.279259969,1.439921026,1.036743216,0.329423828
0.7,0.423,350.372,24,5.038096959,1.475411872,2.546098662,0.989605692
0.7,0.423,350.372,24,0.208486365,1.31,1.008257694,0.382224016
0.7,0.423,350.372,24,0.1,1.42844711,0.940670125,0.312985166
0.7,0.423,350.372,24,10,1.58,3.554060134,1.08
0.7,0.423,350.372,24,0.159306579,1.430505559,0.975124713,0.324951714
0.7,0.423,350.372,24,0.182402661,1.441671011,0.906487531,0.356639797
0.7,0.423,350.372,24,1.9958412,1.500519464,1.70964158,0.65743728
0.7,0.423,350.372,24,0.562682175,1.484468574,1.554019972,0.276433592
0.7,0.423,350.372,24,0.443886002,1.479956513,1.508333441,0.252678471
0.7,0.423,350.372,24,1.036950331,1.333302996,1.297570657,0.608819752
0.7,0.423,350.372,24,0.235903891,1.31,1.028721394,0.392700136
0.7,0.423,350.372,24,0.89320426,1.315866224,1.1875762,0.607139891
0.7,0.423,350.372,24,0.1,1.31,0.65,0.33943402
0.7,0.423,350.372,24,0.124314133,1.46433629,1.06083302,0.39483055
0.7,0.423,350.372,24,0.149359201,1.438418002,0.886274079,0.341400152
0.7,0.423,350.372,24,0.1,1.32564182,0.65,0.389193556
0.7,0.423,350.372,24,0.239801768,1.445525867,1.047115959,0.31719889
0.7,0.423,350.372,24,0.1,1.436055282,0.827982986,0.325716495
0.7,0.423,350.372,24,9.955521207,1.575412647,3.62436647,1.0686428
0.7,0.423,350.372,24,5.071401153,1.48289834,2.578330428,0.983230599
0.7,0.423,350.372,24,10,1.58,3.584394675,1.08
0.7,0.423,350.372,24,0.1,1.465242924,1.045105239,0.326384358
0.7,0.423,350.372,24,3.29849041,1.507254348,2.044582688,0.718559612
0.7,0.423,350.372,24,0.1,1.437352152,0.849326914,0.327745156
0.7,0.423,350.372,24,0.473236253,1.479545124,1.450475641,0.283225186
0.7,0.423,350.372,24,0.1,1.43796229,0.847053489,0.337147885
0.7,0.423,350.372,24,0.310436134,1.432077924,1.010333305,0.335669518
0.7,0.423,350.372,24,5.090670338,1.500346719,2.310935897,0.953752077
0.7,0.423,350.372,24,5.191730577,1.509064895,2.335693731,0.952590798
0.7,0.423,350.372,24,0.251673997,1.31,1.004148206,0.381800564
0.7,0.423,350.372,24,2.013756809,1.497882051,1.690961722,0.657918489
0.7,0.423,350.372,24,0.1,1.317684564,0.65,0.309675765
0.7,0.423,350.372,24,1.324457159,1.326898371,1.328510954,0.630158756
0.7,0.423,350.372,24,0.1,1.311333788,0.65,0.31597922
0.7,0.423,350.372,24,0.1,1.459613251,0.839765611,0.3075901
0.7,0.423,350.372,24,0.682481524,1.47090751,1.515691899,0.270604226
0.7,0.423,350.372,24,0.323073748,1.319443363,1.013609751,0.472058663
0.7,0.423,350.372,24,4.991879985,1.50345056,2.274019864,0.936683049
0.7,0.423,350.372,24,0.200214625,1.314508281,0.676362796,0.325607989
0.7,0.423,350.372,24,3.049279519,1.50167983,1.865071791,0.747138118
0.7,0.423,350.372,24,9.647128549,1.561004468,4.106506191,1.001540726
0.7,0.423,350.372,24,2.070893814,1.503759115,1.769608043,0.6736491
0.7,0.423,350.372,24,0.1,1.313489472,0.65,0.292616589
0.7,0.423,350.372,24,5.093702823,1.504551608,2.312370542,0.929382004
0.7,0.423,350.372,24,0.1,1.312295501,0.96002049,0.360604549
0.7,0.423,350.372,24,0.333353082,1.433455411,1.032458768,0.336856268
0.7,0.423,350.372,24,5.068065904,1.502389074,2.277522417,1.007851125
0.7,0.423,350.372,24,0.294130646,1.437800776,1.027535865,0.340546529
0.7,0.423,350.372,24,0.678522053,1.482006039,1.589472268,0.280741012
0.7,0.423,350.372,24,0.631849826,1.314792873,1.11096756,0.420178557
0.7,0.423,350.372,24,0.427234218,1.475895021,1.47994844,0.251834779
0.7,0.423,350.372,24,0.304825405,1.31,1.040717764,0.396095112
0.7,0.423,350.372,24,1.191632994,1.314376072,1.383525902,0.657048814
0.7,0.423,350.372,24,2.203174589,1.503956077,1.802847245,0.688629935
0.7,0.423,350.372,24,0.10720855,1.430454535,0.979877793,0.315398377
0.7,0.423,350.372,24,0.212262978,1.445045731,1.054217856,0.313726357
0.7,0.423,350.372,24,0.1,1.455009006,0.731343872,0.287691635
0.7,0.423,350.372,24,0.125155735,1.333557264,0.653938301,0.381584144
0.7,0.423,350.372,24,0.538704895,1.470616878,1.486474147,0.253443704
0.7,0.423,350.372,24,2.41078241,1.510227578,1.821002908,0.697177692
0.7,0.423,350.372,24,0.469602928,1.333501843,0.953352881,0.426162842
0.7,0.423,350.372,24,10,1.57924704,3.538137147,1.08
0.7,0.423,350.372,24,0.722952661,1.476467226,1.553286611,0.270673124
0.7,0.423,350.372,24,0.244470933,1.330507466,0.898699611,0.39667325
0.7,0.423,350.372,24,0.272277188,1.471415898,1.138850677,0.36051976
0.7,0.423,350.372,24,0.383041626,1.441255624,1.048600986,0.342890437
0.7,0.423,350.372,24,0.525821499,1.451571315,1.114783675,0.346607684
0.7,0.423,350.372,24,2.868902881,1.479996506,1.946436484,0.696396178
0.7,0.423,350.372,24,0.1,1.444604632,0.889699828,0.332617023
0.7,0.423,350.372,24,10,1.579234375,3.658387767,1.076657401
0.7,0.423,350.372,24,0.1,1.441685539,0.868419828,0.342005873
0.7,0.423,350.372,24,3.101534689,1.499993202,1.851540092,0.75214688
0.7,0.423,350.372,24,5.166705766,1.502965132,2.279779776,1.006635088
0.7,0.423,350.372,24,9.753615704,1.576366323,3.563047439,1.042770644
0.7,0.423,350.372,24,0.934405396,1.328212226,1.254541055,0.597925774
0.7,0.423,350.372,24,0.933788004,1.321795743,1.218380135,0.599435482
0.7,0.423,350.372,24,0.1,1.422516071,0.927827592,0.31020856
0.7,0.423,350.372,24,0.1,1.311788123,0.898569951,0.450554571
0.7,0.423,350.372,24,4.747249248,1.470840063,2.480694883,0.969628773
0.7,0.423,350.372,24,1.889418979,1.475987861,1.650848373,0.669397814
0.7,0.423,350.372,24,0.723735018,1.313988355,1.163596329,0.586281248
0.7,0.423,350.372,24,0.164982482,1.443782229,1.048804956,0.307246741
0.7,0.423,350.372,24,0.1,1.445583354,0.864451487,0.342086328
0.7,0.423,350.372,24,0.1,1.427502067,0.925087148,0.302195293
0.7,0.423,350.372,24,0.354073953,1.478136851,1.428590505,0.277467265
0.7,0.423,350.372,24,3.010407198,1.501958634,1.947004188,0.703652702
0.7,0.423,350.372,24,0.221618619,1.320309444,0.694088252,0.343277425
0.7,0.423,350.372,24,3.114140911,1.504656286,1.981813235,0.705574177
0.7,0.423,350.372,24,3.080322377,1.498938534,1.855233362,0.748068398
0.7,0.423,350.372,24,0.397831462,1.470884587,1.122720647,0.401515016
0.7,0.423,350.372,24,2.813059903,1.492461564,1.888741787,0.680173826
0.7,0.423,350.372,24,1.895687059,1.475665816,1.642423269,0.689808442
0.7,0.423,350.372,24,5.098255727,1.501879418,2.304021725,0.945352872
0.7,0.423,350.372,24,0.298648818,1.312710869,1.018580547,0.392880189
0.7,0.423,350.372,24,2.698437971,1.4950389,1.871663464,0.674011717
0.7,0.423,350.372,24,0.369634913,1.442297862,0.944770382,0.363080482
0.7,0.423,350.372,24,0.235112386,1.469369545,1.116150354,0.353691067
0.7,0.423,350.372,24,0.304503314,1.323801021,0.715820512,0.333066511
0.7,0.423,350.372,24,2.113694062,1.479762606,1.71862783,0.713035276
0.7,0.423,350.372,24,0.1,1.31,0.65,0.348372678
0.7,0.423,350.372,24,3.082095566,1.502297776,1.983782903,0.709396224
0.7,0.423,350.372,24,5.180752186,1.486206601,2.619890611,0.995922433
0.7,0.423,350.372,24,2.134371546,1.5015531,1.721507475,0.680518022
0.7,0.423,350.372,24,0.13209219,1.313084541,0.664218477,0.338214576
0.7,0.423,350.372,24,2.001630238,1.504467372,1.752474625,0.658776921
0.7,0.423,350.372,24,0.1,1.464912111,0.847628877,0.294711688
0.7,0.423,350.372,24,3.280993387,1.50734076,2.033053862,0.719686163
0.7,0.423,350.372,24,0.260658151,1.311316899,0.703650512,0.357329282
0.7,0.423,350.372,24,0.28631919,1.471125905,1.089518959,0.36842434
0.7,0.423,350.372,24,0.1,1.432596732,0.850895412,0.345759739
0.7,0.423,350.372,24,2.071284259,1.502587178,1.709484806,0.669379585
0.7,0.423,350.372,24,0.243237611,1.318368969,1.002879097,0.481199846
0.7,0.423,350.372,24,0.1,1.316748912,0.65,0.297043844
0.7,0.423,350.372,24,2.935634808,1.472359043,1.964930638,0.705968854
0.7,0.423,350.372,24,4.688405776,1.476792075,2.47792158,0.962322527
0.7,0.423,350.372,24,0.553281448,1.481134445,1.557433176,0.274114205
0.7,0.423,350.372,24,0.418260477,1.310223894,1.055340785,0.40756673
0.7,0.423,350.372,24,1.731390772,1.476448593,1.62596181,0.672031345
0.7,0.423,350.372,24,3.21870504,1.504637599,2.012776055,0.719535577
0.7,0.423,350.372,24,2.878903342,1.474767181,1.962082892,0.709744792
0.7,0.423,350.372,24,0.102885828,1.310251624,0.971866578,0.378460253
0.7,0.423,350.372,24,0.168312232,1.334344415,0.675130798,0.401873209
0.7,0.423,350.372,24,1.045927478,1.312783837,1.328667683,0.654347098
0.7,0.423,350.372,24,3.069738134,1.483501626,1.998925238,0.709351575
0.7,0.423,350.372,24,0.333744399,1.444307883,1.026695305,0.339375413
0.7,0.423,350.372,24,0.41928398,1.482857787,1.51300899,0.252435674
0.7,0.423,350.372,24,0.274997298,1.440485429,0.926718214,0.364019346
0.7,0.423,350.372,24,0.372780816,1.318174032,1.023586086,0.485772771
0.7,0.423,350.372,24,1.910497336,1.477121485,1.635755094,0.678776522
0.7,0.423,350.372,24,0.248876754,1.472853819,1.117264934,0.357333131
0.7,0.423,350.372,24,0.898388406,1.325997276,1.261467232,0.59461395
0.7,0.423,350.372,24,0.1,1.4379949,1.008006895,0.312266635
0.7,0.423,350.372,24,2.878759876,1.497611322,1.915934187,0.684825984
0.7,0.423,350.372,24,0.141734428,1.439862537,1.027939593,0.31648063
0.7,0.423,350.372,24,9.951134033,1.568429002,4.200969764,1.023414152
0.7,0.423,350.372,24,2.087374389,1.481355345,1.695820284,0.691515528
0.7,0.423,350.372,24,1.214793145,1.323516256,1.305447745,0.625527133
0.7,0.423,350.372,24,0.19322484,1.448197901,1.034500041,0.298992781
0.7,0.423,350.372,24,0.340974106,1.44100133,1.07039437,0.323480233
0.7,0.423,350.372,24,0.189804555,1.437804164,0.995125137,0.327054814
0.7,0.423,350.372,24,4.850332376,1.49504994,2.230653338,0.920871626
0.7,0.423,350.372,24,0.437277456,1.469199133,1.459041037,0.25
0.7,0.423,350.372,24,4.997045909,1.49791884,2.282185922,0.94896734
0.7,0.423,350.372,24,9.931070021,1.58,3.490494469,1.075598389
0.7,0.423,350.372,24,2.232415389,1.505899398,1.792960745,0.689825971
0.7,0.423,350.372,24,0.432999267,1.472722855,1.16022643,0.411793015
0.7,0.423,350.372,24,0.1,1.436330258,0.811797753,0.329823115
0.7,0.423,350.372,24,10,1.577655855,3.543777015,1.08
0.7,0.423,350.372,24,1.990601161,1.498694975,1.748139709,0.675658592
0.7,0.423,350.372,24,10,1.58,3.535278183,1.08
0.7,0.423,350.372,24,0.277239419,1.438933216,1.058493134,0.328891146
0.7,0.423,350.372,24,0.13129954,1.460038343,0.861699633,0.297178311
0.7,0.423,350.372,24,1.044865487,1.310485174,1.331821152,0.647686352
0.7,0.423,350.372,24,4.988901727,1.476270268,2.539990554,0.981116919
0.7,0.423,350.372,24,0.517060135,1.470817978,1.495036908,0.25
0.7,0.423,350.372,24,0.176079974,1.444471323,0.988114455,0.320426922
0.7,0.423,350.372,24,0.1,1.31723661,0.65,0.312180431
0.7,0.423,350.372,24,0.423305489,1.441182202,1.081448853,0.326361543
0.7,0.423,350.372,24,5.256408125,1.503345909,2.350839931,0.959250427
0.7,0.423,350.372,24,0.1,1.456663095,0.830921529,0.307731883
0.7,0.423,350.372,24,0.1,1.319643446,0.65,0.2985983
0.7,0.423,350.372,24,0.65133039,1.476402383,1.538363265,0.258396148
0.7,0.423,350.372,24,0.225244761,1.471855711,1.120106236,0.344867553
0.7,0.423,350.372,24,2.759674207,1.495876848,1.89155428,0.674196084
0.7,0.423,350.372,24,0.244813802,1.432789906,1.005492791,0.332331447
0.7,0.423,350.372,24,0.1,1.43308437,0.97782587,0.308736098
0.7,0.423,350.372,24,2.91954803,1.496357442,1.907190935,0.703400756
0.7,0.423,350.372,24,0.272564227,1.444661087,1.037527801,0.332390486
0.7,0.423,350.372,24,0.963733217,1.328818683,1.264976048,0.611663613
0.7,0.423,350.372,24,1.082516413,1.310103428,1.34553124,0.642006401
0.7,0.423,350.372,24,10,1.57211575,4.21,1.055200438
0.7,0.423,350.372,24,1.05711285,1.311355374,1.336890894,0.644183424
0.7,0.423,350.372,24,0.414398163,1.477017203,1.446664282,0.2837714
0.7,0.423,350.372,24,0.1,1.436232824,0.844044438,0.335519003
0.7,0.423,350.372,24,3.083172069,1.50075301,1.977697075,0.70382544
0.7,0.423,350.372,24,0.1,1.312279001,0.651590186,0.330382379
0.7,0.423,350.372,24,0.37301053,1.467971254,1.45977315,0.25
0.7,0.423,350.372,24,0.141314155,1.326517517,0.65,0.393122003
0.7,0.423,350.372,24,0.1,1.437188389,0.869611631,0.342784776
0.7,0.423,350.372,24,9.782921161,1.568367548,4.158510861,1.016209986
0.7,0.423,350.372,24,0.1,1.436665124,0.96214932,0.285606431
0.7,0.423,350.372,24,0.501361625,1.479666107,1.546426697,0.271705477
0.7,0.423,350.372,24,0.1,1.433105704,0.903264965,0.301253417
0.7,0.423,350.372,24,2.144055189,1.499605853,1.730785862,0.67279117
0.7,0.423,350.372,24,0.582281586,1.482244877,1.56543872,0.267261666
0.7,0.423,350.372,24,0.1,1.462922689,0.853451268,0.310631117
0.7,0.423,350.372,24,0.1,1.324933413,0.65,0.379890459
0.7,0.423,350.372,24,0.216698938,1.465188655,0.886734679,0.325836289
0.7,0.423,350.372,24,1.203127797,1.314534429,1.371868143,0.664449816
0.7,0.423,350.372,24,0.1,1.440221184,0.864964201,0.334017868
0.7,0.423,350.372,24,0.1,1.467896248,1.03368416,0.397925753
0.7,0.423,350.372,24,0.1,1.31,0.962363606,0.38747013
0.7,0.423,350.372,24,0.259587321,1.471946669,1.088915737,0.395383758
0.7,0.423,350.372,24,0.340638601,1.461177175,1.426238604,0.25
0.7,0.423,350.372,24,0.1,1.314685684,0.65,0.306716187
0.7,0.423,350.372,24,2.045358582,1.503606314,1.764112323,0.678965029
0.7,0.423,350.372,24,4.999715244,1.500932367,2.286009224,0.940526427
0.7,0.423,350.372,24,9.941042741,1.577874981,3.484149237,1.077689683
0.7,0.423,350.372,24,0.136044923,1.427691036,0.956805546,0.312891623
0.7,0.423,350.372,24,0.245293629,1.312948371,0.684156681,0.355755243
0.7,0.423,350.372,24,0.416810173,1.46410507,1.458554892,0.25
0.7,0.423,350.372,24,0.18930535,1.46899707,1.09314259,0.39562141
0.7,0.423,350.372,24,0.322009889,1.47836622,1.407380645,0.284964589
0.7,0.423,350.372,24,0.1,1.433090965,0.862272752,0.354218661
0.7,0.423,350.372,24,2.233920625,1.490013128,1.746633504,0.710825875
0.7,0.423,350.372,24,4.892831246,1.498697476,2.208972615,0.976865117
0.7,0.423,350.372,24,0.149621795,1.470907305,1.102894307,0.342390617
0.7,0.423,350.372,24,0.299551142,1.465304601,1.414431769,0.25
0.7,0.423,350.372,24,0.274883044,1.316520507,0.698356993,0.337152293
0.7,0.423,350.372,24,4.737722247,1.499508856,2.208312363,0.912286381
0.7,0.423,350.372,24,1.243827131,1.32844937,1.306119037,0.626272148
0.7,0.423,350.372,24,0.130391649,1.430336781,0.979922613,0.321094733
0.7,0.423,350.372,24,1.107767611,1.335619574,1.305978574,0.610651783
0.7,0.423,350.372,24,0.1,1.31,0.65,0.333675646
0.7,0.423,350.372,24,3.078851748,1.501819891,1.974766361,0.717074116
0.7,0.423,350.372,24,0.1,1.436407553,0.938739548,0.300831729
0.7,0.423,350.372,24,3.004204661,1.475134679,1.996107351,0.709581095
0.7,0.423,350.372,24,3.301529462,1.485514317,2.085337555,0.73465196
0.7,0.423,350.372,24,0.245436561,1.318110459,1.006920245,0.472310382
0.7,0.423,350.372,24,0.133589137,1.467445991,1.080600505,0.353177615
0.7,0.423,350.372,24,0.1,1.314526536,0.651964326,0.337955665
0.7,0.423,350.372,24,9.803864249,1.574966445,3.583627512,1.063609311
0.7,0.423,350.372,24,10,1.574889044,4.21,1.039863889
0.7,0.423,350.372,24,1.99123611,1.507222257,1.694776344,0.651273432
0.7,0.423,350.372,24,0.1,1.323858025,0.65,0.300458171
0.7,0.423,350.372,24,10,1.575577088,4.21,1.036312713
0.7,0.423,350.372,24,2.960611458,1.477837437,1.958690129,0.712496775
0.7,0.423,350.372,24,0.209863876,1.311537996,1.023399491,0.384710153
0.7,0.423,350.372,24,9.937486452,1.569202616,4.201600157,1.022051708
0.7,0.423,350.372,24,0.1,1.461522627,0.831785833,0.289699971
0.7,0.423,350.372,24,0.1,1.3112517,0.65,0.318970668
0.7,0.423,350.372,24,0.124705362,1.439569898,1.019462548,0.300749157
0.7,0.423,350.372,24,0.1,1.438519065,0.984734542,0.302582643
0.7,0.423,350.372,24,0.1,1.437705198,0.849390378,0.337825666
0.7,0.423,350.372,24,0.270648954,1.470088229,1.077912411,0.361059193
0.7,0.423,350.372,24,0.436983557,1.473113964,1.164871529,0.362239114
0.7,0.423,350.372,24,0.129813073,1.319401032,0.661078349,0.326072632
0.7,0.423,350.372,24,5.131955596,1.506855687,2.303655156,0.993845667
0.7,0.423,350.372,24,9.865884497,1.567268566,4.16721023,1.012757861
0.7,0.423,350.372,24,4.934437788,1.497313015,2.252880854,0.9333588
0.7,0.423,350.372,24,3.174922527,1.503872779,1.913274827,0.755898463
0.7,0.423,350.372,24,4.95694429,1.499211047,2.240019267,0.989015957
0.7,0.423,350.372,24,10,1.573127976,4.21,1.057780995
0.7,0.423,350.372,24,2.766795206,1.498038937,1.788494286,0.715752106
0.7,0.423,350.372,24,9.998673908,1.56464421,4.189859415,1.037713546
0.7,0.423,350.372,24,0.1,1.435284813,0.966861745,0.313259176
0.7,0.423,350.372,24,1.930113917,1.480983091,1.653148929,0.677726142
0.7,0.423,350.372,24,0.122870756,1.463421205,0.872428757,0.307269364
0.7,0.423,350.372,24,0.639138894,1.480167962,1.58242628,0.266987704
0.7,0.423,350.372,24,0.347191823,1.431643381,1.041336378,0.341108767
0.7,0.423,350.372,24,0.349188297,1.475578154,1.491365963,0.254699904
0.7,0.423,350.372,24,9.989503381,1.569942534,4.21,1.030137741
0.7,0.423,350.372,24,0.1,1.323912863,0.65,0.382457091
0.7,0.423,350.372,24,10,1.58,3.584987206,1.08
0.7,0.423,350.372,24,1.901031304,1.497683682,1.70352184,0.654953022
0.7,0.423,350.372,24,0.149510114,1.321495117,0.671261598,0.327049958
0.7,0.423,350.372,24,5.036016733,1.502390519,2.262629877,0.994349225
0.7,0.423,350.372,24,0.142215264,1.469135322,1.097004388,0.337298569
0.7,0.423,350.372,24,0.157693661,1.428216418,0.964413002,0.31511863
0.7,0.423,350.372,24,5.187884415,1.506791334,2.313771832,1.01476275
0.7,0.423,350.372,24,0.121909447,1.448844649,0.994702687,0.314498221
0.7,0.423,350.372,24,0.440956114,1.480051,1.452462812,0.284387724
0.7,0.423,350.372,24,0.363726167,1.465649676,0.929023185,0.326128441
0.7,0.423,350.372,24,3.062119617,1.500742579,1.851628474,0.740688413
0.7,0.423,350.372,24,10,1.58,3.608994132,1.08
0.7,0.423,350.372,24,2.992345564,1.501546593,1.955477973,0.702536977
0.7,0.423,350.372,24,2.904280612,1.49926956,1.806390758,0.727928638
0.7,0.423,350.372,24,0.1,1.42379156,0.93484106,0.314992388
0.7,0.423,350.372,24,1.144970641,1.312820912,1.36865135,0.642310859
0.7,0.423,350.372,24,0.628111792,1.472932793,1.523152966,0.262493697
0.7,0.423,350.372,24,0.353487159,1.472643115,1.47437669,0.253169204
0.7,0.423,350.372,24,0.252433236,1.437680622,1.033778182,0.315935562
0.7,0.423,350.372,24,0.196963673,1.46480389,1.085372149,0.3425837
0.7,0.423,350.372,24,2.012803028,1.496590533,1.686859457,0.668597389
0.7,0.423,350.372,24,2.806771236,1.495764077,1.902971489,0.682773175
0.7,0.423,350.372,24,0.414847741,1.48200945,1.43856339,0.287319224
0.7,0.423,350.372,24,3.063673178,1.500126292,1.97086044,0.70765295
0.7,0.423,350.372,24,0.251534027,1.331127345,0.691031737,0.402787066
0.7,0.423,350.372,24,0.354519737,1.318778563,1.044056432,0.4830237
0.7,0.423,350.372,24,2.804523148,1.480093464,1.960128949,0.698838012
0.7,0.423,350.372,24,10,1.574207879,4.21,1.036150199
0.7,0.423,350.372,24,0.537862925,1.4788759,1.459696959,0.293213665
0.7,0.423,350.372,24,0.241373971,1.437212625,1.00499908,0.337723497
0.7,0.423,350.372,24,0.1,1.42971541,0.924228723,0.30855882
0.7,0.423,350.372,24,0.412881041,1.475323397,1.178389903,0.356136546
0.7,0.423,350.372,24,5.165305299,1.480443384,2.595453562,0.996218713
0.7,0.423,350.372,24,10,1.58,3.52463031,1.07751872
0.7,0.423,350.372,24,0.379486466,1.472985317,1.148296088,0.410473334
0.7,0.423,350.372,24,4.791425411,1.499101419,2.191726854,0.97336834
0.7,0.423,350.372,24,0.1,1.313291121,0.65,0.327505112
0.7,0.423,350.372,24,2.015949073,1.476922294,1.68221332,0.701968199
0.7,0.423,350.372,24,0.427198592,1.469865329,1.436325673,0.25
0.7,0.423,350.372,24,1.953533787,1.496605731,1.682467597,0.656122874
0.7,0.423,350.372,24,0.1,1.438343992,0.843349341,0.331349212
0.7,0.423,350.372,24,1.142659239,1.316136955,1.253598765,0.62218629
0.7,0.423,350.372,24,3.258813292,1.507194133,2.022740379,0.726799507
0.7,0.423,350.372,24,1.890082052,1.501071236,1.651239654,0.654913744
0.7,0.423,350.372,24,0.1,1.435699542,0.845786788,0.338086439
0.7,0.423,350.372,24,0.1,1.320344184,0.65,0.316388481
0.7,0.423,350.372,24,1.065640922,1.32103403,1.244496006,0.616059866
0.7,0.423,350.372,24,0.331676529,1.47789153,1.141880816,0.409334546
0.7,0.423,350.372,24,0.708441146,1.480130685,1.237986953,0.440502169
0.7,0.423,350.372,24,0.350234841,1.475839691,1.48044368,0.251874587
0.7,0.423,350.372,24,2.974146521,1.499945683,1.953082595,0.702932211
0.7,0.423,350.372,24,2.975995056,1.477482825,1.990100364,0.713818772
0.7,0.423,350.372,24,2.761576393,1.494592809,1.88178167,0.685504266
0.7,0.423,350.372,24,0.635090279,1.47339269,1.525292127,0.261137987
0.7,0.423,350.372,24,0.1,1.457330248,0.82029306,0.302096087
0.7,0.423,350.372,24,0.1,1.463560232,0.998528605,0.33636812
0.7,0.423,350.372,24,0.213362883,1.320825619,0.992177544,0.456844726
0.7,0.423,350.372,24,2.948319661,1.501398685,1.844158461,0.739714149
0.7,0.423,350.372,24,2.782059296,1.495223833,1.778854567,0.723764881
0.7,0.423,350.372,24,0.330051294,1.31,1.029005247,0.400211736
0.7,0.423,350.372,24,2.12255789,1.499792547,1.768007537,0.666068378
0.7,0.423,350.372,24,2.907753728,1.476661952,1.951872177,0.703776509
0.7,0.423,350.372,24,0.241695779,1.462864723,1.06854893,0.357673806
0.7,0.423,350.372,24,0.222092901,1.437381676,1.034635216,0.316213272
0.7,0.423,350.372,24,2.044990716,1.501223051,1.751174401,0.664870814
